datasets/train_10000.csv datasets/test_40000.csv

Train accuracy, Val accuracy
Epoch 1: 0.5088750123977661 0.5715000033378601
Epoch 2: 0.6359999775886536 0.6679999828338623
Epoch 3: 0.6956250071525574 0.6855000257492065
Epoch 4: 0.7098749876022339 0.6919999718666077
Epoch 5: 0.7166249752044678 0.7049999833106995
Epoch 6: 0.7231249809265137 0.7049999833106995
Epoch 7: 0.7212499976158142 0.7055000066757202
Epoch 8: 0.7232499718666077 0.703499972820282
Epoch 9: 0.7264999747276306 0.7120000123977661
Epoch 10: 0.7302500009536743 0.7039999961853027
Epoch 11: 0.7308750152587891 0.7145000100135803
Epoch 12: 0.7322499752044678 0.7160000205039978
Epoch 13: 0.7398750185966492 0.7325000166893005
Epoch 14: 0.7378749847412109 0.7319999933242798
Epoch 15: 0.7434999942779541 0.7315000295639038
Epoch 16: 0.7478749752044678 0.7325000166893005
Epoch 17: 0.753000020980835 0.734499990940094
Epoch 18: 0.7526249885559082 0.7400000095367432
Epoch 19: 0.7526249885559082 0.7310000061988831
Epoch 20: 0.7558749914169312 0.722000002861023
Epoch 21: 0.7581250071525574 0.7384999990463257
Epoch 22: 0.7572500109672546 0.7484999895095825
Epoch 23: 0.7592499852180481 0.7455000281333923
Epoch 24: 0.7603750228881836 0.753000020980835
Epoch 25: 0.7613750100135803 0.746999979019165
Epoch 26: 0.765500009059906 0.7440000176429749
Epoch 27: 0.7647500038146973 0.7509999871253967
Epoch 28: 0.7674999833106995 0.7494999766349792
Epoch 29: 0.7701249718666077 0.7549999952316284
Epoch 30: 0.7702500224113464 0.7455000281333923
Epoch 31: 0.7681249976158142 0.7455000281333923
Epoch 32: 0.7691249847412109 0.765500009059906
Epoch 33: 0.7742499709129333 0.7609999775886536
Epoch 34: 0.7743750214576721 0.762499988079071
Epoch 35: 0.7714999914169312 0.7599999904632568
Epoch 36: 0.7742499709129333 0.7634999752044678
Epoch 37: 0.7716249823570251 0.7524999976158142
Epoch 38: 0.7746250033378601 0.7649999856948853
Epoch 39: 0.7749999761581421 0.7630000114440918
Epoch 40: 0.7745000123977661 0.762499988079071
Epoch 41: 0.7760000228881836 0.7639999985694885
Epoch 42: 0.7736250162124634 0.7615000009536743
Epoch 43: 0.7753750085830688 0.765500009059906
Epoch 44: 0.7767500281333923 0.7639999985694885
Epoch 45: 0.7764999866485596 0.7649999856948853
Epoch 46: 0.7756249904632568 0.7680000066757202
Epoch 47: 0.778124988079071 0.765999972820282
Epoch 48: 0.7774999737739563 0.7699999809265137
Epoch 49: 0.7798749804496765 0.7630000114440918
Epoch 50: 0.7763749957084656 0.7754999995231628
Epoch 51: 0.7801250219345093 0.7620000243186951
Epoch 52: 0.7787500023841858 0.7735000252723694
Epoch 53: 0.7795000076293945 0.7695000171661377
Epoch 54: 0.7802500128746033 0.7670000195503235
Epoch 55: 0.7785000205039978 0.7699999809265137
Epoch 56: 0.7832499742507935 0.7760000228881836
Epoch 57: 0.7802500128746033 0.7730000019073486
Epoch 58: 0.7796249985694885 0.7739999890327454
Epoch 59: 0.7802500128746033 0.7720000147819519
Epoch 60: 0.7828750014305115 0.7714999914169312

CNN Final train acc: 0.7828750014305115
CNN Test acc: 0.6924750208854675
