datasets/train_1000.csv datasets/test_40000.csv

Train accuracy, Val accuracy
Epoch 1: 0.32624998688697815 0.574999988079071
Epoch 2: 0.5537499785423279 0.6100000143051147
Epoch 3: 0.6050000190734863 0.6399999856948853
Epoch 4: 0.65625 0.675000011920929
Epoch 5: 0.6474999785423279 0.6700000166893005
Epoch 6: 0.6637499928474426 0.675000011920929
Epoch 7: 0.6762499809265137 0.6899999976158142
Epoch 8: 0.6825000047683716 0.6800000071525574
Epoch 9: 0.6762499809265137 0.6899999976158142
Epoch 10: 0.6762499809265137 0.6899999976158142
Epoch 11: 0.6899999976158142 0.699999988079071
Epoch 12: 0.6937500238418579 0.6949999928474426
Epoch 13: 0.6924999952316284 0.7049999833106995
Epoch 14: 0.7024999856948853 0.7099999785423279
Epoch 15: 0.7024999856948853 0.7149999737739563
Epoch 16: 0.699999988079071 0.7099999785423279
Epoch 17: 0.7149999737739563 0.7149999737739563
Epoch 18: 0.706250011920929 0.7200000286102295
Epoch 19: 0.6937500238418579 0.7149999737739563
Epoch 20: 0.7087500095367432 0.7149999737739563
Epoch 21: 0.6987500190734863 0.7149999737739563
Epoch 22: 0.699999988079071 0.7149999737739563
Epoch 23: 0.7112500071525574 0.7099999785423279
Epoch 24: 0.7200000286102295 0.7049999833106995
Epoch 25: 0.7225000262260437 0.7149999737739563
Epoch 26: 0.7237499952316284 0.7200000286102295
Epoch 27: 0.7162500023841858 0.7300000190734863
Epoch 28: 0.7087500095367432 0.7149999737739563
Epoch 29: 0.7137500047683716 0.7350000143051147
Epoch 30: 0.7200000286102295 0.7250000238418579
Epoch 31: 0.7087500095367432 0.7350000143051147
Epoch 32: 0.7212499976158142 0.7250000238418579
Epoch 33: 0.731249988079071 0.7250000238418579
Epoch 34: 0.7200000286102295 0.7200000286102295
Epoch 35: 0.7137500047683716 0.7099999785423279
Epoch 36: 0.7325000166893005 0.7350000143051147
Epoch 37: 0.7300000190734863 0.7549999952316284
Epoch 38: 0.7225000262260437 0.7200000286102295
Epoch 39: 0.7212499976158142 0.7549999952316284
Epoch 40: 0.7425000071525574 0.7250000238418579
Epoch 41: 0.7300000190734863 0.7300000190734863
Epoch 42: 0.7225000262260437 0.7149999737739563
Epoch 43: 0.7325000166893005 0.7300000190734863
Epoch 44: 0.7262499928474426 0.7149999737739563
Epoch 45: 0.7300000190734863 0.7599999904632568
Epoch 46: 0.7412499785423279 0.7599999904632568
Epoch 47: 0.7437499761581421 0.7400000095367432
Epoch 48: 0.7250000238418579 0.7450000047683716
Epoch 49: 0.7475000023841858 0.7649999856948853
Epoch 50: 0.7562500238418579 0.75
Epoch 51: 0.7387499809265137 0.7599999904632568
Epoch 52: 0.7462499737739563 0.75
Epoch 53: 0.7425000071525574 0.7200000286102295
Epoch 54: 0.7612500190734863 0.7699999809265137
Epoch 55: 0.7637500166893005 0.7300000190734863
Epoch 56: 0.75 0.75
Epoch 57: 0.768750011920929 0.7649999856948853
Epoch 58: 0.7737500071525574 0.7649999856948853
Epoch 59: 0.7475000023841858 0.7099999785423279
Epoch 60: 0.7599999904632568 0.7850000262260437

DNN Final train acc: 0.7599999904632568
DNN Test acc: 0.6588249802589417
